,fileName,tag
0,0,7
1,1,2
2,2,1
3,3,7
4,4,1
5,5,2
6,6,6
7,7,10
8,8,10
9,9,2
10,10,2
11,11,8
12,12,7
13,13,8
14,14,7
15,15,11
16,16,2
17,17,14
18,18,2
19,19,6
20,20,2
21,21,12
22,22,2
23,23,11
24,24,9
25,25,5
26,26,7
27,27,11
28,28,9
29,29,8
30,30,0
31,31,2
32,32,11
33,33,7
34,34,2
35,35,15
36,36,6
37,37,1
38,38,1
39,39,11
40,40,7
41,41,3
42,42,13
43,43,7
44,44,1
45,45,14
46,46,11
47,47,2
48,48,2
49,49,2
50,50,1
51,51,2
52,52,15
53,53,5
54,54,7
55,55,2
56,56,8
57,57,12
58,58,1
59,59,4
60,60,2
61,61,2
62,62,12
63,63,12
64,64,15
65,65,2
66,66,3
67,67,3
68,68,2
69,69,2
70,70,3
71,71,5
72,72,2
73,73,0
74,74,6
75,75,4
76,76,2
77,77,15
78,78,2
79,79,6
80,80,2
81,81,2
82,82,5
83,83,2
84,84,9
85,85,1
86,86,2
87,87,2
88,88,1
89,89,3
90,90,2
91,91,2
92,92,3
93,93,13
94,94,2
95,95,11
96,96,12
97,97,10
98,98,1
99,99,11
100,100,11
101,101,2
102,102,1
103,103,15
104,104,2
105,105,2
106,106,8
107,107,3
108,108,2
109,109,1
110,110,7
111,111,2
112,112,12
113,113,2
114,114,14
115,115,6
116,116,7
117,117,11
118,118,3
119,119,2
120,120,7
121,121,7
122,122,12
123,123,8
124,124,2
125,125,11
126,126,2
127,127,14
128,128,2
129,129,8
130,130,2
131,131,2
132,132,10
133,133,2
134,134,13
135,135,6
136,136,11
137,137,13
138,138,2
139,139,2
140,140,3
141,141,2
142,142,7
143,143,2
144,144,8
145,145,6
146,146,7
147,147,2
148,148,2
149,149,6
150,150,2
151,151,2
152,152,2
153,153,8
154,154,7
155,155,2
156,156,2
157,157,6
158,158,2
159,159,1
160,160,7
161,161,2
162,162,2
163,163,2
164,164,2
165,165,6
166,166,6
167,167,10
168,168,2
169,169,6
170,170,2
171,171,6
172,172,2
173,173,3
174,174,2
175,175,12
176,176,7
177,177,1
178,178,2
179,179,7
180,180,1
181,181,9
182,182,6
183,183,2
184,184,13
185,185,4
186,186,6
187,187,12
188,188,8
189,189,2
190,190,6
191,191,2
192,192,8
193,193,2
194,194,2
195,195,8
196,196,2
197,197,2
198,198,2
199,199,1
200,200,1
201,201,2
202,202,10
203,203,3
204,204,13
205,205,7
206,206,2
207,207,2
208,208,2
209,209,7
210,210,2
211,211,2
212,212,1
213,213,2
214,214,8
215,215,2
216,216,6
217,217,2
218,218,2
219,219,5
220,220,6
221,221,2
222,222,1
223,223,6
224,224,7
225,225,10
226,226,13
227,227,2
228,228,1
229,229,6
230,230,2
231,231,15
232,232,2
233,233,2
234,234,5
235,235,5
236,236,2
237,237,7
238,238,2
239,239,2
240,240,3
241,241,2
242,242,2
243,243,8
244,244,10
245,245,2
246,246,0
247,247,1
248,248,10
249,249,2
250,250,2
251,251,5
252,252,6
253,253,1
254,254,10
255,255,10
256,256,1
257,257,2
258,258,4
259,259,2
260,260,2
261,261,2
262,262,6
263,263,2
264,264,4
265,265,15
266,266,2
267,267,2
268,268,7
269,269,7
270,270,2
271,271,7
272,272,2
273,273,5
274,274,2
275,275,2
276,276,4
277,277,1
278,278,11
279,279,10
280,280,4
281,281,11
282,282,1
283,283,9
284,284,8
285,285,11
286,286,7
287,287,2
288,288,2
289,289,1
290,290,7
291,291,2
292,292,4
293,293,2
